date,next_date,number,freq_7days,freq_prev_day,is_cau_ngang,is_cau_cheo,label
14-9-2025,15-9-2025,94,0,0,0,1,0.0
14-9-2025,15-9-2025,95,1,0,1,1,1.0
14-9-2025,15-9-2025,96,1,0,0,1,0.0
14-9-2025,15-9-2025,97,2,1,0,1,0.0
14-9-2025,15-9-2025,98,2,0,0,1,0.0
14-9-2025,15-9-2025,99,0,0,1,1,1.0
15-9-2025,16-9-2025,00,0,0,0,1,1.0
15-9-2025,16-9-2025,01,4,0,0,1,0.0
15-9-2025,16-9-2025,02,3,0,1,1,0.0
15-9-2025,16-9-2025,03,1,0,1,1,0.0
15-9-2025,16-9-2025,04,1,0,0,1,0.0
15-9-2025,16-9-2025,05,2,0,0,1,1.0
15-9-2025,16-9-2025,06,0,0,0,1,0.0
15-9-2025,16-9-2025,07,0,0,0,1,0.0
15-9-2025,16-9-2025,08,0,0,0,1,0.0
15-9-2025,16-9-2025,09,1,0,0,1,0.0
15-9-2025,16-9-2025,10,1,0,0,1,0.0
15-9-2025,16-9-2025,11,2,0,1,1,1.0
15-9-2025,16-9-2025,12,2,0,0,1,1.0
15-9-2025,16-9-2025,13,1,0,0,1,0.0
15-9-2025,16-9-2025,14,4,0,1,1,0.0
15-9-2025,16-9-2025,15,0,0,0,1,0.0
15-9-2025,16-9-2025,16,1,0,1,1,0.0
15-9-2025,16-9-2025,17,3,0,0,1,0.0
15-9-2025,16-9-2025,18,2,0,0,1,0.0
15-9-2025,16-9-2025,19,1,0,0,1,0.0
15-9-2025,16-9-2025,20,2,0,0,1,1.0
15-9-2025,16-9-2025,21,1,0,1,1,1.0
15-9-2025,16-9-2025,22,1,0,0,1,1.0
15-9-2025,16-9-2025,23,3,0,0,1,0.0
15-9-2025,16-9-2025,24,3,0,0,1,0.0
15-9-2025,16-9-2025,25,2,0,0,1,1.0
15-9-2025,16-9-2025,26,3,0,0,1,1.0
15-9-2025,16-9-2025,27,0,0,0,1,1.0
15-9-2025,16-9-2025,28,2,0,0,1,0.0
15-9-2025,16-9-2025,29,2,0,0,1,1.0
15-9-2025,16-9-2025,30,1,0,0,1,1.0
15-9-2025,16-9-2025,31,2,0,0,1,0.0
15-9-2025,16-9-2025,32,2,0,0,1,0.0
15-9-2025,16-9-2025,33,1,0,1,1,1.0
15-9-2025,16-9-2025,34,3,0,0,1,0.0
15-9-2025,16-9-2025,35,0,0,0,1,0.0
15-9-2025,16-9-2025,36,1,0,0,1,1.0
15-9-2025,16-9-2025,37,1,0,0,1,0.0
15-9-2025,16-9-2025,38,2,0,0,1,0.0
15-9-2025,16-9-2025,39,2,0,1,1,0.0
15-9-2025,16-9-2025,40,1,0,1,1,0.0
15-9-2025,16-9-2025,41,0,0,0,1,0.0
15-9-2025,16-9-2025,42,2,0,1,1,0.0
15-9-2025,16-9-2025,43,3,0,1,1,0.0
15-9-2025,16-9-2025,44,0,0,1,1,0.0
15-9-2025,16-9-2025,45,0,0,0,1,1.0
15-9-2025,16-9-2025,46,1,0,0,1,0.0
15-9-2025,16-9-2025,47,1,0,0,1,0.0
15-9-2025,16-9-2025,48,2,0,0,1,0.0
15-9-2025,16-9-2025,49,2,0,0,1,0.0
15-9-2025,16-9-2025,50,3,0,0,1,0.0
15-9-2025,16-9-2025,51,3,0,0,1,1.0
15-9-2025,16-9-2025,52,1,0,0,1,1.0
15-9-2025,16-9-2025,53,3,0,0,1,0.0
15-9-2025,16-9-2025,54,2,0,0,1,0.0
15-9-2025,16-9-2025,55,0,0,1,1,0.0
15-9-2025,16-9-2025,56,1,0,0,1,0.0
15-9-2025,16-9-2025,57,1,0,0,1,0.0
15-9-2025,16-9-2025,58,1,0,1,1,0.0
15-9-2025,16-9-2025,59,1,0,0,1,0.0
15-9-2025,16-9-2025,60,2,0,0,1,0.0
15-9-2025,16-9-2025,61,0,0,0,1,0.0
15-9-2025,16-9-2025,62,2,0,0,1,0.0
15-9-2025,16-9-2025,63,2,0,0,1,0.0
15-9-2025,16-9-2025,64,0,0,0,1,0.0
15-9-2025,16-9-2025,65,3,0,0,1,0.0
15-9-2025,16-9-2025,66,0,0,0,1,0.0
15-9-2025,16-9-2025,67,0,0,0,1,0.0
15-9-2025,16-9-2025,68,3,0,0,1,1.0
15-9-2025,16-9-2025,69,2,0,0,1,0.0
15-9-2025,16-9-2025,70,1,0,0,1,1.0
15-9-2025,16-9-2025,71,1,0,0,1,1.0
15-9-2025,16-9-2025,72,0,0,0,1,1.0
15-9-2025,16-9-2025,73,1,0,0,1,0.0
15-9-2025,16-9-2025,74,3,0,0,1,0.0
15-9-2025,16-9-2025,75,1,0,1,1,0.0
15-9-2025,16-9-2025,76,1,0,1,1,0.0
15-9-2025,16-9-2025,77,0,0,0,1,0.0
15-9-2025,16-9-2025,78,1,0,0,1,0.0
15-9-2025,16-9-2025,79,0,0,0,1,1.0
15-9-2025,16-9-2025,80,1,0,1,1,0.0
15-9-2025,16-9-2025,81,2,0,0,1,0.0
15-9-2025,16-9-2025,82,3,0,1,1,0.0
15-9-2025,16-9-2025,83,4,0,0,1,0.0
15-9-2025,16-9-2025,84,3,0,0,1,0.0
15-9-2025,16-9-2025,85,2,0,0,1,0.0
15-9-2025,16-9-2025,86,2,0,0,1,0.0
15-9-2025,16-9-2025,87,2,0,1,1,1.0
15-9-2025,16-9-2025,88,1,0,0,1,0.0
15-9-2025,16-9-2025,89,2,0,0,1,1.0
15-9-2025,16-9-2025,90,1,0,0,1,0.0
15-9-2025,16-9-2025,91,0,0,0,1,1.0
15-9-2025,16-9-2025,92,2,0,0,1,1.0
15-9-2025,16-9-2025,93,2,0,0,1,0.0
15-9-2025,16-9-2025,94,0,0,0,1,0.0
15-9-2025,16-9-2025,95,1,0,1,1,0.0
15-9-2025,16-9-2025,96,1,0,0,1,1.0
15-9-2025,16-9-2025,97,1,0,0,1,0.0
15-9-2025,16-9-2025,98,1,0,0,1,0.0
15-9-2025,16-9-2025,99,0,0,1,1,0.0
16-9-2025,17-9-2025,00,1,1,0,1,1.0
16-9-2025,17-9-2025,01,5,1,0,1,1.0
16-9-2025,17-9-2025,02,3,0,1,1,0.0
16-9-2025,17-9-2025,03,1,0,1,1,0.0
16-9-2025,17-9-2025,04,1,0,0,1,0.0
16-9-2025,17-9-2025,05,2,0,0,1,1.0
16-9-2025,17-9-2025,06,0,0,0,1,0.0
16-9-2025,17-9-2025,07,1,1,0,1,0.0
16-9-2025,17-9-2025,08,0,0,0,1,1.0
16-9-2025,17-9-2025,09,1,0,0,1,0.0
16-9-2025,17-9-2025,10,1,0,0,1,0.0
16-9-2025,17-9-2025,11,1,0,1,1,0.0
16-9-2025,17-9-2025,12,1,0,0,1,0.0
16-9-2025,17-9-2025,13,0,0,0,1,1.0
16-9-2025,17-9-2025,14,3,0,1,1,1.0
16-9-2025,17-9-2025,15,0,0,0,1,0.0
16-9-2025,17-9-2025,16,2,1,1,1,0.0
16-9-2025,17-9-2025,17,2,0,0,1,0.0
16-9-2025,17-9-2025,18,2,0,0,1,1.0
16-9-2025,17-9-2025,19,2,1,0,1,0.0
16-9-2025,17-9-2025,20,1,0,0,1,0.0
16-9-2025,17-9-2025,21,1,0,1,1,0.0
16-9-2025,17-9-2025,22,2,1,0,1,1.0
16-9-2025,17-9-2025,23,3,0,0,1,1.0
16-9-2025,17-9-2025,24,3,1,0,1,0.0
16-9-2025,17-9-2025,25,2,0,0,1,0.0
16-9-2025,17-9-2025,26,3,1,0,1,0.0
16-9-2025,17-9-2025,27,1,1,0,1,0.0
16-9-2025,17-9-2025,28,2,0,0,1,0.0
16-9-2025,17-9-2025,29,2,0,0,1,0.0
16-9-2025,17-9-2025,30,1,0,0,1,1.0
16-9-2025,17-9-2025,31,3,1,0,1,0.0
16-9-2025,17-9-2025,32,2,1,0,1,0.0
16-9-2025,17-9-2025,33,2,1,1,1,0.0
16-9-2025,17-9-2025,34,2,0,0,1,1.0
16-9-2025,17-9-2025,35,0,0,0,1,0.0
16-9-2025,17-9-2025,36,1,0,0,1,0.0
16-9-2025,17-9-2025,37,1,1,0,1,0.0
16-9-2025,17-9-2025,38,2,0,0,1,0.0
16-9-2025,17-9-2025,39,1,0,1,1,0.0
16-9-2025,17-9-2025,40,1,0,1,1,0.0
16-9-2025,17-9-2025,41,0,0,0,1,1.0
16-9-2025,17-9-2025,42,1,0,1,1,1.0
16-9-2025,17-9-2025,43,3,0,1,1,0.0
16-9-2025,17-9-2025,44,1,1,1,1,1.0
16-9-2025,17-9-2025,45,0,0,0,1,0.0
16-9-2025,17-9-2025,46,2,1,0,1,0.0
16-9-2025,17-9-2025,47,1,0,0,1,0.0
16-9-2025,17-9-2025,48,2,0,0,1,0.0
16-9-2025,17-9-2025,49,2,0,0,1,0.0
16-9-2025,17-9-2025,50,3,0,0,1,0.0
16-9-2025,17-9-2025,51,3,0,0,1,1.0
16-9-2025,17-9-2025,52,0,0,0,1,0.0
16-9-2025,17-9-2025,53,3,0,0,1,0.0
16-9-2025,17-9-2025,54,2,0,0,1,0.0
16-9-2025,17-9-2025,55,0,0,1,1,0.0
16-9-2025,17-9-2025,56,1,0,0,1,1.0
16-9-2025,17-9-2025,57,1,0,0,1,0.0
16-9-2025,17-9-2025,58,2,1,1,1,0.0
16-9-2025,17-9-2025,59,1,0,0,1,0.0
16-9-2025,17-9-2025,60,3,1,0,1,0.0
16-9-2025,17-9-2025,61,0,0,0,1,0.0
16-9-2025,17-9-2025,62,2,0,0,1,0.0
16-9-2025,17-9-2025,63,1,0,0,1,1.0
16-9-2025,17-9-2025,64,0,0,0,1,1.0
16-9-2025,17-9-2025,65,3,1,0,1,0.0
16-9-2025,17-9-2025,66,0,0,0,1,0.0
16-9-2025,17-9-2025,67,0,0,0,1,1.0
16-9-2025,17-9-2025,68,2,0,0,1,0.0
16-9-2025,17-9-2025,69,1,0,0,1,0.0
16-9-2025,17-9-2025,70,2,1,0,1,0.0
16-9-2025,17-9-2025,71,0,0,0,1,0.0
16-9-2025,17-9-2025,72,0,0,0,1,0.0
16-9-2025,17-9-2025,73,1,0,0,1,0.0
16-9-2025,17-9-2025,74,2,0,0,1,0.0
16-9-2025,17-9-2025,75,1,0,1,1,0.0
16-9-2025,17-9-2025,76,1,0,1,1,0.0
16-9-2025,17-9-2025,77,0,0,0,1,0.0
16-9-2025,17-9-2025,78,1,0,0,1,1.0
16-9-2025,17-9-2025,79,0,0,0,1,0.0
16-9-2025,17-9-2025,80,1,0,1,1,1.0
16-9-2025,17-9-2025,81,2,0,0,1,0.0
16-9-2025,17-9-2025,82,4,1,1,1,0.0
16-9-2025,17-9-2025,83,3,0,0,1,0.0
16-9-2025,17-9-2025,84,3,1,0,1,0.0
16-9-2025,17-9-2025,85,2,0,0,1,0.0
16-9-2025,17-9-2025,86,3,1,0,1,0.0
16-9-2025,17-9-2025,87,1,0,1,1,0.0
16-9-2025,17-9-2025,88,2,1,0,1,0.0
16-9-2025,17-9-2025,89,2,0,0,1,1.0
16-9-2025,17-9-2025,90,1,0,0,1,0.0
16-9-2025,17-9-2025,91,1,1,0,1,0.0
16-9-2025,17-9-2025,92,2,0,0,1,0.0
16-9-2025,17-9-2025,93,1,0,0,1,0.0
16-9-2025,17-9-2025,94,0,0,0,1,0.0
16-9-2025,17-9-2025,95,2,1,1,1,0.0
16-9-2025,17-9-2025,96,1,0,0,1,0.0
16-9-2025,17-9-2025,97,1,0,0,1,0.0
16-9-2025,17-9-2025,98,1,0,0,1,0.0
16-9-2025,17-9-2025,99,1,1,1,1,0.0
17-9-2025,18-9-2025,00,2,1,0,1,1.0
17-9-2025,18-9-2025,01,4,0,0,1,0.0
17-9-2025,18-9-2025,02,3,0,1,1,1.0
17-9-2025,18-9-2025,03,1,0,1,1,0.0
17-9-2025,18-9-2025,04,1,0,0,1,0.0
17-9-2025,18-9-2025,05,3,1,0,1,1.0
17-9-2025,18-9-2025,06,0,0,0,1,0.0
17-9-2025,18-9-2025,07,1,0,0,1,0.0
17-9-2025,18-9-2025,08,0,0,0,1,0.0
17-9-2025,18-9-2025,09,1,0,0,1,1.0
17-9-2025,18-9-2025,10,0,0,0,1,0.0
17-9-2025,18-9-2025,11,2,1,1,1,1.0
17-9-2025,18-9-2025,12,2,1,0,1,0.0
17-9-2025,18-9-2025,13,0,0,0,1,1.0
17-9-2025,18-9-2025,14,3,0,1,1,0.0
17-9-2025,18-9-2025,15,0,0,0,1,0.0
17-9-2025,18-9-2025,16,2,0,1,1,0.0
17-9-2025,18-9-2025,17,2,0,0,1,0.0
17-9-2025,18-9-2025,18,2,0,0,1,1.0
17-9-2025,18-9-2025,19,2,0,0,1,0.0
17-9-2025,18-9-2025,20,2,1,0,1,0.0
17-9-2025,18-9-2025,21,2,1,1,1,0.0
17-9-2025,18-9-2025,22,3,1,0,1,0.0
17-9-2025,18-9-2025,23,2,0,0,1,1.0
17-9-2025,18-9-2025,24,3,0,0,1,0.0
17-9-2025,18-9-2025,25,2,1,0,1,0.0
17-9-2025,18-9-2025,26,4,1,0,1,0.0
17-9-2025,18-9-2025,27,2,1,0,1,0.0
17-9-2025,18-9-2025,28,2,0,0,1,0.0
17-9-2025,18-9-2025,29,3,1,0,1,0.0
17-9-2025,18-9-2025,30,1,1,0,1,1.0
17-9-2025,18-9-2025,31,3,0,0,1,0.0
17-9-2025,18-9-2025,32,2,0,0,1,0.0
17-9-2025,18-9-2025,33,3,1,1,1,0.0
17-9-2025,18-9-2025,34,2,0,0,1,0.0
17-9-2025,18-9-2025,35,0,0,0,1,0.0
17-9-2025,18-9-2025,36,2,1,0,1,0.0
17-9-2025,18-9-2025,37,1,0,0,1,0.0
17-9-2025,18-9-2025,38,2,0,0,1,0.0
17-9-2025,18-9-2025,39,1,0,1,1,0.0
17-9-2025,18-9-2025,40,1,0,1,1,0.0
17-9-2025,18-9-2025,41,0,0,0,1,0.0
17-9-2025,18-9-2025,42,0,0,1,1,0.0
17-9-2025,18-9-2025,43,2,0,1,1,0.0
17-9-2025,18-9-2025,44,1,0,1,1,0.0
17-9-2025,18-9-2025,45,1,1,0,1,0.0
17-9-2025,18-9-2025,46,2,0,0,1,1.0
17-9-2025,18-9-2025,47,1,0,0,1,0.0
17-9-2025,18-9-2025,48,2,0,0,1,0.0
17-9-2025,18-9-2025,49,1,0,0,1,0.0
17-9-2025,18-9-2025,50,3,0,0,1,1.0
17-9-2025,18-9-2025,51,3,1,0,1,0.0
17-9-2025,18-9-2025,52,1,1,0,1,0.0
17-9-2025,18-9-2025,53,2,0,0,1,0.0
17-9-2025,18-9-2025,54,1,0,0,1,0.0
17-9-2025,18-9-2025,55,0,0,1,1,1.0
17-9-2025,18-9-2025,56,1,0,0,1,0.0
17-9-2025,18-9-2025,57,1,0,0,1,0.0
17-9-2025,18-9-2025,58,2,0,1,1,0.0
17-9-2025,18-9-2025,59,0,0,0,1,1.0
17-9-2025,18-9-2025,60,2,0,0,1,0.0
17-9-2025,18-9-2025,61,0,0,0,1,0.0
17-9-2025,18-9-2025,62,1,0,0,1,0.0
17-9-2025,18-9-2025,63,0,0,0,1,0.0
17-9-2025,18-9-2025,64,0,0,0,1,0.0
17-9-2025,18-9-2025,65,3,0,0,1,1.0
17-9-2025,18-9-2025,66,0,0,0,1,0.0
17-9-2025,18-9-2025,67,0,0,0,1,0.0
17-9-2025,18-9-2025,68,2,1,0,1,0.0
17-9-2025,18-9-2025,69,0,0,0,1,1.0
17-9-2025,18-9-2025,70,3,1,0,1,1.0
17-9-2025,18-9-2025,71,1,1,0,1,1.0
17-9-2025,18-9-2025,72,1,1,0,1,0.0
17-9-2025,18-9-2025,73,1,0,0,1,1.0
17-9-2025,18-9-2025,74,2,0,0,1,1.0
17-9-2025,18-9-2025,75,1,0,1,1,1.0
17-9-2025,18-9-2025,76,1,0,1,1,1.0
17-9-2025,18-9-2025,77,0,0,0,1,0.0
17-9-2025,18-9-2025,78,1,0,0,1,0.0
17-9-2025,18-9-2025,79,1,1,0,1,0.0
17-9-2025,18-9-2025,80,1,0,1,1,0.0
17-9-2025,18-9-2025,81,1,0,0,1,0.0
17-9-2025,18-9-2025,82,3,0,1,1,1.0
17-9-2025,18-9-2025,83,2,0,0,1,0.0
17-9-2025,18-9-2025,84,2,0,0,1,0.0
17-9-2025,18-9-2025,85,1,0,0,1,0.0
17-9-2025,18-9-2025,86,3,0,0,1,0.0
17-9-2025,18-9-2025,87,1,1,1,1,0.0
17-9-2025,18-9-2025,88,1,0,0,1,1.0
17-9-2025,18-9-2025,89,3,1,0,1,1.0
17-9-2025,18-9-2025,90,0,0,0,1,0.0
17-9-2025,18-9-2025,91,2,1,0,1,0.0
17-9-2025,18-9-2025,92,3,1,0,1,0.0
17-9-2025,18-9-2025,93,1,0,0,1,1.0
17-9-2025,18-9-2025,94,0,0,0,1,0.0
17-9-2025,18-9-2025,95,2,0,1,1,0.0
17-9-2025,18-9-2025,96,2,1,0,1,0.0
17-9-2025,18-9-2025,97,1,0,0,1,0.0
17-9-2025,18-9-2025,98,0,0,0,1,0.0
17-9-2025,18-9-2025,99,1,0,1,1,0.0
18-9-2025,19-9-2025,00,3,1,0,1,0.0
18-9-2025,19-9-2025,01,5,1,0,1,0.0
18-9-2025,19-9-2025,02,2,0,1,1,0.0
18-9-2025,19-9-2025,03,1,0,1,1,0.0
18-9-2025,19-9-2025,04,1,0,0,1,0.0
18-9-2025,19-9-2025,05,3,1,0,1,0.0
18-9-2025,19-9-2025,06,0,0,0,1,0.0
18-9-2025,19-9-2025,07,1,0,0,1,0.0
18-9-2025,19-9-2025,08,1,1,0,1,0.0
18-9-2025,19-9-2025,09,1,0,0,1,0.0
18-9-2025,19-9-2025,10,0,0,0,1,0.0
18-9-2025,19-9-2025,11,2,0,1,1,0.0
18-9-2025,19-9-2025,12,2,0,0,1,0.0
18-9-2025,19-9-2025,13,1,1,0,1,1.0
18-9-2025,19-9-2025,14,3,1,1,1,0.0
18-9-2025,19-9-2025,15,0,0,0,1,0.0
18-9-2025,19-9-2025,16,1,0,1,1,0.0
18-9-2025,19-9-2025,17,1,0,0,1,0.0
18-9-2025,19-9-2025,18,2,1,0,1,0.0
18-9-2025,19-9-2025,19,2,0,0,1,1.0
18-9-2025,19-9-2025,20,2,0,0,1,0.0
18-9-2025,19-9-2025,21,2,0,1,1,0.0
18-9-2025,19-9-2025,22,4,1,0,1,1.0
18-9-2025,19-9-2025,23,2,1,0,1,1.0
18-9-2025,19-9-2025,24,2,0,0,1,1.0
18-9-2025,19-9-2025,25,1,0,0,1,0.0
18-9-2025,19-9-2025,26,4,0,0,1,0.0
18-9-2025,19-9-2025,27,2,0,0,1,0.0
18-9-2025,19-9-2025,28,2,0,0,1,1.0
18-9-2025,19-9-2025,29,3,0,0,1,0.0
18-9-2025,19-9-2025,30,2,1,0,1,0.0
18-9-2025,19-9-2025,31,2,0,0,1,0.0
18-9-2025,19-9-2025,32,2,0,0,1,0.0
18-9-2025,19-9-2025,33,2,0,1,1,0.0
18-9-2025,19-9-2025,34,2,1,0,1,0.0
18-9-2025,19-9-2025,35,0,0,0,1,0.0
18-9-2025,19-9-2025,36,2,0,0,1,0.0
18-9-2025,19-9-2025,37,1,0,0,1,0.0
18-9-2025,19-9-2025,38,2,0,0,1,1.0
18-9-2025,19-9-2025,39,0,0,1,1,0.0
18-9-2025,19-9-2025,40,0,0,1,1,0.0
18-9-2025,19-9-2025,41,1,1,0,1,0.0
18-9-2025,19-9-2025,42,1,1,1,1,1.0
18-9-2025,19-9-2025,43,2,0,1,1,1.0
18-9-2025,19-9-2025,44,2,1,1,1,0.0
18-9-2025,19-9-2025,45,1,0,0,1,1.0
18-9-2025,19-9-2025,46,2,0,0,1,1.0
18-9-2025,19-9-2025,47,0,0,0,1,1.0
18-9-2025,19-9-2025,48,1,0,0,1,0.0
18-9-2025,19-9-2025,49,1,0,0,1,0.0
18-9-2025,19-9-2025,50,3,0,0,1,0.0
18-9-2025,19-9-2025,51,4,1,0,1,0.0
18-9-2025,19-9-2025,52,1,0,0,1,0.0
18-9-2025,19-9-2025,53,2,0,0,1,1.0
18-9-2025,19-9-2025,54,0,0,0,1,0.0
18-9-2025,19-9-2025,55,0,0,1,1,0.0
18-9-2025,19-9-2025,56,2,1,0,1,1.0
18-9-2025,19-9-2025,57,1,0,0,1,1.0
18-9-2025,19-9-2025,58,2,0,1,1,0.0
18-9-2025,19-9-2025,59,0,0,0,1,0.0
18-9-2025,19-9-2025,60,2,0,0,1,0.0
18-9-2025,19-9-2025,61,0,0,0,1,0.0
18-9-2025,19-9-2025,62,0,0,0,1,1.0
18-9-2025,19-9-2025,63,1,1,0,1,0.0
18-9-2025,19-9-2025,64,1,1,0,1,1.0
18-9-2025,19-9-2025,65,3,0,0,1,0.0
18-9-2025,19-9-2025,66,0,0,0,1,1.0
18-9-2025,19-9-2025,67,1,1,0,1,0.0
18-9-2025,19-9-2025,68,2,0,0,1,0.0
18-9-2025,19-9-2025,69,0,0,0,1,0.0
18-9-2025,19-9-2025,70,3,0,0,1,0.0
18-9-2025,19-9-2025,71,1,0,0,1,0.0
18-9-2025,19-9-2025,72,1,0,0,1,0.0
18-9-2025,19-9-2025,73,1,0,0,1,0.0
18-9-2025,19-9-2025,74,2,0,0,1,0.0
18-9-2025,19-9-2025,75,1,0,1,1,0.0
18-9-2025,19-9-2025,76,1,0,1,1,0.0
18-9-2025,19-9-2025,77,0,0,0,1,1.0
18-9-2025,19-9-2025,78,1,1,0,1,1.0
18-9-2025,19-9-2025,79,1,0,0,1,1.0
18-9-2025,19-9-2025,80,2,1,1,1,0.0
18-9-2025,19-9-2025,81,0,0,0,1,0.0
18-9-2025,19-9-2025,82,2,0,1,1,0.0
18-9-2025,19-9-2025,83,2,0,0,1,1.0
18-9-2025,19-9-2025,84,2,0,0,1,0.0
18-9-2025,19-9-2025,85,1,0,0,1,0.0
18-9-2025,19-9-2025,86,3,0,0,1,0.0
18-9-2025,19-9-2025,87,1,0,1,1,0.0
18-9-2025,19-9-2025,88,1,0,0,1,0.0
18-9-2025,19-9-2025,89,4,1,0,1,0.0
18-9-2025,19-9-2025,90,0,0,0,1,0.0
18-9-2025,19-9-2025,91,2,0,0,1,0.0
18-9-2025,19-9-2025,92,3,0,0,1,0.0
18-9-2025,19-9-2025,93,1,0,0,1,0.0
18-9-2025,19-9-2025,94,0,0,0,1,0.0
18-9-2025,19-9-2025,95,1,0,1,1,1.0
18-9-2025,19-9-2025,96,2,0,0,1,0.0
18-9-2025,19-9-2025,97,1,0,0,1,0.0
18-9-2025,19-9-2025,98,0,0,0,1,0.0
18-9-2025,19-9-2025,99,1,0,1,1,1.0
19-9-2025,20-9-2025,00,4,1,0,1,0.0
19-9-2025,20-9-2025,01,4,0,0,1,0.0
19-9-2025,20-9-2025,02,2,1,1,1,0.0
19-9-2025,20-9-2025,03,1,0,1,1,0.0
19-9-2025,20-9-2025,04,1,0,0,1,0.0
19-9-2025,20-9-2025,05,4,1,0,1,0.0
19-9-2025,20-9-2025,06,0,0,0,1,0.0
19-9-2025,20-9-2025,07,1,0,0,1,0.0
19-9-2025,20-9-2025,08,1,0,0,1,0.0
19-9-2025,20-9-2025,09,1,1,0,1,0.0
19-9-2025,20-9-2025,10,0,0,0,1,0.0
19-9-2025,20-9-2025,11,3,1,1,1,0.0
19-9-2025,20-9-2025,12,1,0,0,1,0.0
19-9-2025,20-9-2025,13,2,1,0,1,0.0
19-9-2025,20-9-2025,14,3,0,1,1,1.0
19-9-2025,20-9-2025,15,0,0,0,1,0.0
19-9-2025,20-9-2025,16,1,0,1,1,0.0
19-9-2025,20-9-2025,17,0,0,0,1,0.0
19-9-2025,20-9-2025,18,3,1,0,1,0.0
19-9-2025,20-9-2025,19,1,0,0,1,0.0
19-9-2025,20-9-2025,20,2,0,0,1,0.0
19-9-2025,20-9-2025,21,2,0,1,1,0.0
19-9-2025,20-9-2025,22,4,0,0,1,0.0
19-9-2025,20-9-2025,23,3,1,0,1,1.0
19-9-2025,20-9-2025,24,2,0,0,1,0.0
19-9-2025,20-9-2025,25,1,0,0,1,0.0
19-9-2025,20-9-2025,26,3,0,0,1,0.0
19-9-2025,20-9-2025,27,2,0,0,1,0.0
19-9-2025,20-9-2025,28,2,0,0,1,1.0
19-9-2025,20-9-2025,29,2,0,0,1,0.0
19-9-2025,20-9-2025,30,3,1,0,1,0.0
19-9-2025,20-9-2025,31,2,0,0,1,0.0
19-9-2025,20-9-2025,32,1,0,0,1,0.0
19-9-2025,20-9-2025,33,2,0,1,1,0.0
19-9-2025,20-9-2025,34,2,0,0,1,1.0
19-9-2025,20-9-2025,35,0,0,0,1,0.0
19-9-2025,20-9-2025,36,1,0,0,1,0.0
19-9-2025,20-9-2025,37,1,0,0,1,1.0
19-9-2025,20-9-2025,38,2,0,0,1,0.0
19-9-2025,20-9-2025,39,0,0,1,1,1.0
19-9-2025,20-9-2025,40,0,0,1,1,1.0
19-9-2025,20-9-2025,41,1,0,0,1,1.0
19-9-2025,20-9-2025,42,1,0,1,1,1.0
19-9-2025,20-9-2025,43,1,0,1,1,0.0
